,Overall,,,Amphibian,,,Arthropod,,,Crustacean,,,Fish,,,Mammal,,,Mollusc,,,Reptile,
,P,S,,P,S,,P,S,,P,S,,P,S,,P,S,,P,S,,P,S
Log Odds,-0.1,-0.38,,-1.11,-0.32,,4.04,2.49,,-0.37,0.85,,-1.52,-0.74,,0.25,-2.22,,-2.51,-2.45,,0.5,-0.23
Asy. LCL,-0.79,-0.94,,-1.77,-0.82,,3.31,0.94,,-2.49,-0.59,,-2.41,-1.46,,-2.72,-4.34,,-4.31,-3.7,,-1.76,-2.32
Asy. UCL,0.59,0.18,,-0.45,0.17,,4.77,4.03,,1.74,2.29,,-0.63,-0.03,,3.22,-0.1,,-0.7,-1.2,,2.77,1.85
Z ratio,-0.29,-1.32,,-3.31,-1.28,,10.8,3.15,,-0.35,1.15,,-3.36,-2.03,,0.16,-2.05,,-2.72,-3.85,,0.44,-0.22
P value,0.77,0.19,,<0.01,0.2,,<0.01,<0.01,,0.73,0.25,,<0.01,0.04,,0.87,0.04,,<0.01,<0.01,,0.66,0.83
