"","Amphibian_sample","Amphibian-paper","Crustacean_sample","Crustacean-paper","Fish_sample","Fish-paper","Insect_sample","Insect-paper","Mammal_sample","Mammal-paper","Mollusc_sample","Mollusc-paper","Overall_sample","Overall-paper","Reptile_sample","Reptile-paper"
"estimate",-0.34,-0.72,0.63,-0.25,-0.64,-1.24,2.5,0.41,-2.25,0.64,-2.48,-2.15,-0.41,-0.41,-0.25,0.45
"asymp.LCL",-0.85,-1.21,-1.07,-1.64,-1.42,-1.96,0.93,-1.05,-4.4,-1.71,-3.75,-3.59,-0.99,-0.97,-2.36,-1.4
"asymp.UCL",0.16,-0.22,2.33,1.15,0.13,-0.51,4.07,1.87,-0.1,2.99,-1.22,-0.71,0.18,0.15,1.86,2.3
"z.ratio",-1.34,-2.85,0.72,-0.35,-1.63,-3.35,3.12,0.55,-2.05,0.53,-3.84,-2.92,-1.37,-1.43,-0.23,0.48
"p.value",0.18,0,0.47,0.73,0.1,0,0,0.58,0.04,0.59,0,0,0.17,0.15,0.82,0.63
